sku,period,model,actual,pred,abs_err,signed_err
SFC-050SA2-T212,2025-12,M5_GlobalLGBM_v2,460.0,469.8995409906326,9.899540990632602,9.899540990632602
ALS-040ARN-15BHA-19BHA,2025-12,M5_GlobalLGBM_v2,0.0,480.164991796149,480.164991796149,480.164991796149
SFC-050SA2-T228,2025-12,M5_GlobalLGBM_v2,480.0,882.7815625091305,402.7815625091305,402.7815625091305
CPG-030-T005B,2025-12,M5_GlobalLGBM_v2,3000.0,96.72422329510417,2903.2757767048956,-2903.2757767048956
SFC-080DA2-28B-35B,2025-12,M5_GlobalLGBM_v2,500.0,529.4644031556666,29.46440315566656,29.46440315566656
SFC-050SA2-T229,2025-12,M5_GlobalLGBM_v2,420.0,630.3229276570065,210.32292765700652,210.32292765700652
ALS-065ARN-25BHA-35BHA,2025-12,M5_GlobalLGBM_v2,304.0,356.75063143482777,52.75063143482777,52.75063143482777
SFC-050SA2-16B-14BC,2025-12,M5_GlobalLGBM_v2,465.0,243.62812882978955,221.37187117021045,-221.37187117021045
SFC-060DA2-28B-35B,2025-12,M5_GlobalLGBM_v2,300.0,380.32606245802253,80.32606245802253,80.32606245802253
BXW-05-10-54(本体）,2025-12,M5_GlobalLGBM_v2,0.0,238.89789654614702,238.89789654614702,238.89789654614702
SPACER BOLT CF-A-030-S1-1360-G,2025-12,M5_GlobalLGBM_v2,0.0,145.136468172847,145.136468172847,145.136468172847
E-CF-H-160,2025-12,M5_GlobalLGBM_v2,448.0,347.29904726912156,100.70095273087844,-100.70095273087844
BXW-03-10-112,2025-12,M5_GlobalLGBM_v2,900.0,235.57231395367913,664.4276860463209,-664.4276860463209
SFC-050SA2-16B-24B,2025-12,M5_GlobalLGBM_v2,725.0,577.1022700911257,147.89772990887434,-147.89772990887434
CS-06-33G 24V 12DIN,2025-12,M5_GlobalLGBM_v2,30.0,357.68682965253095,327.68682965253095,327.68682965253095
CF-A-008-O0-1360,2025-12,M5_GlobalLGBM_v2,300.0,471.6140793009761,171.61407930097607,171.61407930097607
SFC-010SA2-6.35B-8B,2025-12,M5_GlobalLGBM_v2,150.0,173.27090581139996,23.270905811399956,23.270905811399956
SFC-040SA2-12B-14B,2025-12,M5_GlobalLGBM_v2,100.0,338.0856237592818,238.08562375928182,238.08562375928182
ALS-020ARN-6BHA-8BHA,2025-12,M5_GlobalLGBM_v2,280.0,68.31208546353717,211.6879145364628,-211.6879145364628
SFC-050SA2-16B-11BC,2025-12,M5_GlobalLGBM_v2,310.0,296.5931634781149,13.406836521885111,-13.406836521885111
SFC-050SA2-T211,2025-12,M5_GlobalLGBM_v2,200.0,443.99033067253214,243.99033067253214,243.99033067253214
SFC-050SA2-18B-19B,2025-12,M5_GlobalLGBM_v2,102.0,188.31823238975596,86.31823238975596,86.31823238975596
SFC-035DA2-12B-14B,2025-12,M5_GlobalLGBM_v2,19.0,68.10125408795423,49.10125408795423,49.10125408795423
SFC-030DA2-10B-14B,2025-12,M5_GlobalLGBM_v2,291.0,188.31823238975596,102.68176761024404,-102.68176761024404
BXW-04-10-22,2025-12,M5_GlobalLGBM_v2,300.0,118.44015484862422,181.55984515137578,-181.55984515137578
ALS-040ARN-T014,2025-12,M5_GlobalLGBM_v2,105.0,152.6939019422465,47.6939019422465,47.6939019422465
BXR-035-10LE-062,2025-12,M5_GlobalLGBM_v2,6.0,313.98201611093435,307.98201611093435,307.98201611093435
SPACER BOLT CF-A-090-S1-1360-G,2025-12,M5_GlobalLGBM_v2,0.0,136.06430824113022,136.06430824113022,136.06430824113022
SFC-060DA2-25B-35B,2025-12,M5_GlobalLGBM_v2,30.0,124.99731494919435,94.99731494919435,94.99731494919435
SFC-050SA2-12B-16B,2025-12,M5_GlobalLGBM_v2,563.0,195.36229615283727,367.6377038471627,-367.6377038471627
SFC-040DA2-17B-19B,2025-12,M5_GlobalLGBM_v2,173.0,76.24234549109431,96.75765450890569,-96.75765450890569
ALS-040ARN-15BHA-16BHA,2025-12,M5_GlobalLGBM_v2,218.0,188.31823238975596,29.681767610244037,-29.681767610244037
SFC-060DA2-24B-25B,2025-12,M5_GlobalLGBM_v2,10.0,216.1391278700445,206.1391278700445,206.1391278700445
SFC-040DA2-12B-19B,2025-12,M5_GlobalLGBM_v2,310.0,188.31823238975596,121.68176761024404,-121.68176761024404
ALS-055ARN-18BHA-22BHA,2025-12,M5_GlobalLGBM_v2,200.0,336.4819236573002,136.48192365730017,136.48192365730017
SFC-050SA2-17B-19B,2025-12,M5_GlobalLGBM_v2,1.0,236.02862453974282,235.02862453974282,235.02862453974282
ALS-030ARN-8BHA-14BHA,2025-12,M5_GlobalLGBM_v2,112.0,235.68264529406414,123.68264529406414,123.68264529406414
ALS-030ABN-10BHA-14BHA,2025-12,M5_GlobalLGBM_v2,220.0,165.2014861856768,54.7985138143232,-54.7985138143232
ALS-055ARN-20BHA-22BHA,2025-12,M5_GlobalLGBM_v2,20.0,345.35556669817964,325.35556669817964,325.35556669817964
CPG-030-T007A,2026-01,M5_GlobalLGBM_v2,12000.0,2915.20053996849,9084.79946003151,-9084.79946003151
CPG-030-T007B,2026-01,M5_GlobalLGBM_v2,6000.0,2261.929189341704,3738.070810658296,-3738.070810658296
SFC-030SA2-10B-14B,2026-01,M5_GlobalLGBM_v2,1150.0,428.5460425670554,721.4539574329447,-721.4539574329447
ALS-030ARN-10BHA-14BHA,2026-01,M5_GlobalLGBM_v2,1717.0,1465.8892157812043,251.11078421879574,-251.11078421879574
ANTI-NOISE SPRING:XS-08-10-A-20,2026-01,M5_GlobalLGBM_v2,0.0,2579.0970625885416,2579.0970625885416,2579.0970625885416
BXR-09-20-A-22,2026-01,M5_GlobalLGBM_v2,0.0,1595.9093867458112,1595.9093867458112,1595.9093867458112
CPG-030-T001A,2026-01,M5_GlobalLGBM_v2,0.0,1638.6728927832612,1638.6728927832612,1638.6728927832612
SFC-020SA2-7B-8B,2026-01,M5_GlobalLGBM_v2,514.0,638.6230547844182,124.62305478441817,124.62305478441817
BXH-08-10-A-60,2026-01,M5_GlobalLGBM_v2,1320.0,572.7116990288713,747.2883009711287,-747.2883009711287
BXH-08-10-A-78G,2026-01,M5_GlobalLGBM_v2,600.0,677.767959999457,77.76795999945705,77.76795999945705
E-CF-H-050,2026-01,M5_GlobalLGBM_v2,384.0,614.6120901890467,230.61209018904674,230.61209018904674
BXR-025-10LE-032,2026-01,M5_GlobalLGBM_v2,100.0,550.0930349339728,450.09303493397283,450.09303493397283
BXR-09-20-A-32,2026-01,M5_GlobalLGBM_v2,3240.0,140.32428392142003,3099.67571607858,-3099.67571607858
E-CF-H-110,2026-01,M5_GlobalLGBM_v2,542.0,381.16157659323153,160.83842340676847,-160.83842340676847
ALS-065ARN-28BHA-35BHA,2026-01,M5_GlobalLGBM_v2,304.0,530.929875396593,226.92987539659305,226.92987539659305
BXR-13-20-A-32,2026-01,M5_GlobalLGBM_v2,1890.0,140.32428392142003,1749.67571607858,-1749.67571607858
SFC-050SA2-T212,2026-01,M5_GlobalLGBM_v2,620.0,562.5216371427093,57.478362857290676,-57.478362857290676
ALS-040ARN-15BHA-19BHA,2026-01,M5_GlobalLGBM_v2,363.0,334.53358194349215,28.466418056507848,-28.466418056507848
SFC-050SA2-T228,2026-01,M5_GlobalLGBM_v2,480.0,406.18328521146697,73.81671478853303,-73.81671478853303
CPG-030-T005B,2026-01,M5_GlobalLGBM_v2,0.0,749.0944996725242,749.0944996725242,749.0944996725242
SFC-080DA2-28B-35B,2026-01,M5_GlobalLGBM_v2,550.0,386.11158403835395,163.88841596164605,-163.88841596164605
SFC-050SA2-T229,2026-01,M5_GlobalLGBM_v2,360.0,395.4830799462498,35.4830799462498,35.4830799462498
ALS-065ARN-25BHA-35BHA,2026-01,M5_GlobalLGBM_v2,436.0,353.80721448904484,82.19278551095516,-82.19278551095516
